,Accuracy,MCC,F1
knn,0.9583333333333334,0.9375976715114386,0.9583268218992551
svm_rbf,0.9916666666666667,0.9876028806587153,0.9916653643798512
dt,1.0,1.0,1.0
rf,0.9833333333333333,0.975,0.9833333333333333
mlp,0.975,0.9626002760850769,0.9749960931395532
stack,0.9916666666666667,0.9876028806587153,0.9916653643798512
